snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-03,uni-stuttgart,University of Stuttgart,2,2026,1627,1326,0.815
2026-08-03,uni-stuttgart,University of Stuttgart,2,2025,1894,1203,0.6352
2026-08-03,uni-stuttgart,University of Stuttgart,2,2024,2043,1297,0.6349
2026-08-03,uni-stuttgart,University of Stuttgart,2,2023,2066,1194,0.5779
2026-08-03,uni-stuttgart,University of Stuttgart,2,2022,2097,1192,0.5684
2026-08-03,uni-stuttgart,University of Stuttgart,2,2021,2336,1296,0.5548
2026-08-03,uni-stuttgart,University of Stuttgart,2,2020,1952,1073,0.5497
2026-08-03,uni-stuttgart,University of Stuttgart,2,2019,1876,726,0.387
2026-08-03,uni-stuttgart,University of Stuttgart,2,2018,1907,633,0.3319
2026-08-03,uni-stuttgart,University of Stuttgart,2,2017,1880,543,0.2888
2026-08-03,uni-stuttgart,University of Stuttgart,2,2016,1833,614,0.335
2026-08-03,uni-stuttgart,University of Stuttgart,2,2015,1477,466,0.3155
2026-08-03,uni-stuttgart,University of Stuttgart,2,2014,1541,397,0.2576
2026-08-03,uni-stuttgart,University of Stuttgart,2,2013,1371,319,0.2327
