snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-31,uni-stuttgart,University of Stuttgart,1,2026,743,614,0.8264
2026-08-31,uni-stuttgart,University of Stuttgart,1,2025,1085,830,0.765
2026-08-31,uni-stuttgart,University of Stuttgart,1,2024,1138,896,0.7873
2026-08-31,uni-stuttgart,University of Stuttgart,1,2023,1136,775,0.6822
2026-08-31,uni-stuttgart,University of Stuttgart,1,2022,1197,806,0.6734
2026-08-31,uni-stuttgart,University of Stuttgart,1,2021,1342,874,0.6513
2026-08-31,uni-stuttgart,University of Stuttgart,1,2020,1248,778,0.6234
2026-08-31,uni-stuttgart,University of Stuttgart,1,2019,1124,496,0.4413
2026-08-31,uni-stuttgart,University of Stuttgart,1,2018,1102,452,0.4102
2026-08-31,uni-stuttgart,University of Stuttgart,1,2017,1051,401,0.3815
2026-08-31,uni-stuttgart,University of Stuttgart,1,2016,1113,468,0.4205
2026-08-31,uni-stuttgart,University of Stuttgart,1,2015,951,357,0.3754
2026-08-31,uni-stuttgart,University of Stuttgart,1,2014,951,294,0.3091
2026-08-31,uni-stuttgart,University of Stuttgart,1,2013,784,238,0.3036
