snapshot_date,tu9_slug,university_name,n_members,year,ca_works,ca_oa_works,ca_oa_share
2026-08-17,uni-stuttgart,University of Stuttgart,1,2026,705,578,0.8199
2026-08-17,uni-stuttgart,University of Stuttgart,1,2025,1079,827,0.7665
2026-08-17,uni-stuttgart,University of Stuttgart,1,2024,1151,918,0.7976
2026-08-17,uni-stuttgart,University of Stuttgart,1,2023,1135,778,0.6855
2026-08-17,uni-stuttgart,University of Stuttgart,1,2022,1193,805,0.6748
2026-08-17,uni-stuttgart,University of Stuttgart,1,2021,1342,875,0.652
2026-08-17,uni-stuttgart,University of Stuttgart,1,2020,1244,796,0.6399
2026-08-17,uni-stuttgart,University of Stuttgart,1,2019,1124,522,0.4644
2026-08-17,uni-stuttgart,University of Stuttgart,1,2018,1095,453,0.4137
2026-08-17,uni-stuttgart,University of Stuttgart,1,2017,1049,405,0.3861
2026-08-17,uni-stuttgart,University of Stuttgart,1,2016,1106,476,0.4304
2026-08-17,uni-stuttgart,University of Stuttgart,1,2015,949,361,0.3804
2026-08-17,uni-stuttgart,University of Stuttgart,1,2014,938,301,0.3209
2026-08-17,uni-stuttgart,University of Stuttgart,1,2013,782,243,0.3107
