snapshot_date,slug,name,openalex_id,ror_id,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count,h_index,i10_index,two_yr_mean_citedness,ref_year,ca_works_ref,ca_oa_works_ref,ca_oa_share_ref,ca_doaj_works_ref,ca_doaj_share_ref,period_start,period_end,ca_works_period,ca_oa_works_period,ca_oa_share_period
2026-07-18,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,94960,158778,159956,5324561,613,85746,1.82250548245614,2025,1809,1138,0.6291,279,0.1542,2020,2025,12054,6981,0.5791
2026-07-20,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,94973,158807,159971,5325780,613,85763,1.82575135490228,2025,1809,1138,0.6291,279,0.1542,2020,2025,12054,6981,0.5791
2026-07-21,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,94973,158807,159971,5325780,613,85763,1.82575135490228,2025,1809,1138,0.6291,279,0.1542,2020,2025,12054,6981,0.5791
2026-07-23,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,95109,158917,160117,5335394,613,85868,1.83463943423532,2025,1814,1143,0.6301,279,0.1538,2020,2025,12066,6991,0.5794
2026-07-27,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,95140,158971,160151,5338910,613,85907,1.84416680276553,2025,1813,1142,0.6299,279,0.1539,2020,2025,12065,6990,0.5794
2026-08-03,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,95314,159140,160338,5346743,613,86026,1.86654236921747,2025,1851,1174,0.6343,296,0.1599,2020,2025,12221,7133,0.5837
2026-08-10,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,95377,159199,160411,5355433,613,86158,1.8824883559077,2025,1874,1195,0.6377,297,0.1585,2020,2025,12395,7235,0.5837
2026-08-17,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,95460,159238,160493,5364703,613,86356,1.93243279247595,2025,1875,1196,0.6379,298,0.1589,2020,2025,12395,7233,0.5835
2026-08-24,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,96076,160034,161393,5374381,613,86487,1.90249585749793,2025,1912,1230,0.6433,304,0.159,2020,2025,12487,7303,0.5848
2026-08-31,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,96055,160057,161438,5377950,614,86521,1.92242508281334,2025,1916,1234,0.6441,303,0.1581,2020,2025,12491,7307,0.585
2026-09-07,uni-stuttgart,University of Stuttgart,I100066346,04vnq7t77,96220,160282,161627,5387462,614,86610,1.94689000102135,2025,1917,1235,0.6442,303,0.1581,2020,2025,12522,7337,0.5859
